Symbol(CUSIP),Security description,Date acquired,Date sold,Quantity,Cost basis,Proceeds,Short-term gain/loss,Long-term gain/loss
BBW(120076104),BUILD-A-BEAR WORKSHOP INC COM,2024-10-24,2024-11-04,0.509,$18.88,$19.28, --,$0.40,
BBW(120076104),BUILD-A-BEAR WORKSHOP INC COM,2024-10-24,2024-11-04,0.509,$18.87,$19.28, --,$0.41,
BBW(120076104),BUILD-A-BEAR WORKSHOP INC COM,2024-10-24,2024-11-04,85.491,"$3,170.86","$3,238.39", --,$67.53,
BTI(110448107),BRITISH AMERICAN TOBACCO LVL II ADR EACH REP 1 ORD GBP0.25 BNY,2024-08-08,2024-09-30,0.973,$0.00,$35.67, --,$35.67,
BTI(110448107),BRITISH AMERICAN TOBACCO LVL II ADR EACH REP 1 ORD GBP0.25 BNY,2024-08-08,2024-09-30,7.418,$0.00,$272.01, --,$272.01,
BTI(110448107),BRITISH AMERICAN TOBACCO LVL II ADR EACH REP 1 ORD GBP0.25 BNY,2024-05-08,2024-09-30,9.501,$0.00,$348.39, --,$348.39,
BTI(110448107),BRITISH AMERICAN TOBACCO LVL II ADR EACH REP 1 ORD GBP0.25 BNY,2024-02-16,2024-09-30,0.081,$2.47,$2.97, --,$0.50,
BTI(110448107),BRITISH AMERICAN TOBACCO LVL II ADR EACH REP 1 ORD GBP0.25 BNY,2024-02-16,2024-09-30,394,"$12,017.00","$14,447.58", --,$2430.58,
BTI(110448107),BRITISH AMERICAN TOBACCO LVL II ADR EACH REP 1 ORD GBP0.25 BNY,2024-02-16,2024-09-30,1,$30.51,$36.67, --,$6.16,
CPB(134429109),THE CAMPBELL'S COMPANY COMMON STOCK,2025-09-08,2025-09-08,295.836,"$9,988.90","$10,067.30", --,$78.40,
CPB(134429109),THE CAMPBELL'S COMPANY COMMON STOCK,2025-09-08,2025-09-08,0.164,$5.54,$5.58, --,$0.04,
CPB(134429109),THE CAMPBELL'S COMPANY COMMON STOCK,2025-09-08,2025-09-08,4,$133.60,$136.12, --,$2.52,
CPB(134429109),THE CAMPBELL'S COMPANY COMMON STOCK,2025-09-08,2025-09-08,0.164,$5.54,$5.58, --,$0.04,
CRCL(172573107),CIRCLE INTERNET GROUP INC COM CL A,2025-07-10,2025-07-16,4.04,$826.14,$960.92, --,$134.78,
CRCL(172573107),CIRCLE INTERNET GROUP INC COM CL A,2025-07-10,2025-07-16,0.96,$196.43,$228.34, --,$31.91,
CRCL(172573107),CIRCLE INTERNET GROUP INC COM CL A,2025-07-10,2025-07-16,0.96,$196.31,$228.32, --,$32.01,
DOC(42250P103),HEALTHPEAK PROPERTIES INC COM,2025-05-16,2025-06-16,0.195,$3.39,$3.39, --,$0.00,
DOC(42250P103),HEALTHPEAK PROPERTIES INC COM,2025-05-16,2025-06-16,0.428,$7.45,$7.43, --, -$0.02,
